train_sample_size,N,n_components,ro,linreg,pcr,pls
5000.0,500.0,166.0,0.5,0.9999950837678941,0.40218679735324303,0.9999950706154519
5000.0,500.0,100.0,0.5,0.9999950837678941,0.27388505872389557,0.9999950824936663
5000.0,500.0,50.0,0.5,0.9999950837678941,0.18037833754503318,0.9999950837678941
5000.0,500.0,5.0,0.5,0.9999950837678941,0.08101004214367624,0.9999046634097383
5000.0,500.0,2.0,0.5,0.9999950837678941,0.07647146396330895,0.9103615559608735
2500.0,500.0,500.0,0.5,0.9999944119467113,0.9999944119467113,0.999994120480653
2500.0,500.0,250.0,0.5,0.9999944119467113,0.5341751353108894,0.9999943546063977
2500.0,500.0,166.0,0.5,0.9999944119467113,0.35835988696284615,0.9999944131994849
2500.0,500.0,100.0,0.5,0.9999944119467113,0.26165320346410537,0.9999944130108966
2500.0,500.0,50.0,0.5,0.9999944119467113,0.16004170400945095,0.9999944119467113
2500.0,500.0,5.0,0.5,0.9999944119467113,0.08020152629191835,0.9983037888992571
2500.0,500.0,2.0,0.5,0.9999944119467113,0.07688325296671872,0.8288701097262803
1500.0,500.0,500.0,0.5,0.9999931371094857,0.9999931371094857,0.9999929562869356
1500.0,500.0,250.0,0.5,0.9999931371094857,0.5316985242566833,0.999993111753365
1500.0,500.0,166.0,0.5,0.9999931371094857,0.35852365242171436,0.9999931327854578
1500.0,500.0,100.0,0.5,0.9999931371094857,0.24841287442769644,0.9999931371094876
1500.0,500.0,50.0,0.5,0.9999931371094857,0.15563941300422823,0.9999931371094856
1500.0,500.0,5.0,0.5,0.9999931371094857,0.08316575498104861,0.9910968261695732
1500.0,500.0,2.0,0.5,0.9999931371094857,0.07526868983153712,0.7611004544087044
1000.0,500.0,500.0,0.5,0.9999905876575175,0.9999905876575175,0.9999903089469152
1000.0,500.0,250.0,0.5,0.9999905876575175,0.5251102296988976,0.9999905521586889
1000.0,500.0,166.0,0.5,0.9999905876575175,0.39594306586974426,0.9999905876595441
1000.0,500.0,100.0,0.5,0.9999905876575175,0.27093686977370046,0.9999905876575175
1000.0,500.0,50.0,0.5,0.9999905876575175,0.19207556774778967,0.9999905876587454
1000.0,500.0,5.0,0.5,0.9999905876575175,0.08022500632170804,0.9674238151120509
1000.0,500.0,2.0,0.5,0.9999905876575175,0.07572002947350698,0.6921983481858163
500.0,500.0,500.0,0.5,0.9980010378044009,0.9983368284594327,0.95120386692202
500.0,500.0,250.0,0.5,0.9980010378044009,0.5763566678113514,0.9942026176325852
500.0,500.0,166.0,0.5,0.9980010378044009,0.3706166287333821,0.9923824488112836
500.0,500.0,100.0,0.5,0.9980010378044009,0.2648007058903249,0.9869280165215679
500.0,500.0,50.0,0.5,0.9980010378044009,0.1849586290486258,0.9750127325334533
500.0,500.0,5.0,0.5,0.9980010378044009,0.07594850381414386,0.8176532642145616
500.0,500.0,2.0,0.5,0.9980010378044009,0.0713208568493392,0.5437858727357978
5000.0,500.0,500.0,0.7,0.9999944454101038,0.9999944454101038,0.9999941957475184
5000.0,500.0,250.0,0.7,0.9999944454101038,0.5380739177383895,0.9999943877483078
5000.0,500.0,166.0,0.7,0.9999944454101038,0.3839803419281208,0.9999944123792851
5000.0,500.0,100.0,0.7,0.9999944454101038,0.2903415894680673,0.9999944407337509
5000.0,500.0,50.0,0.7,0.9999944454101038,0.1788938567980931,0.999994445410104
5000.0,500.0,5.0,0.7,0.9999944454101038,0.1106310752039752,0.9999069692714889
5000.0,500.0,2.0,0.7,0.9999944454101038,0.10250887870963232,0.9157940689552267
2500.0,500.0,500.0,0.7,0.9999937503769654,0.9999937503769654,0.9999933272977986
2500.0,500.0,250.0,0.7,0.9999937503769654,0.5255903427904254,0.9999936681349145
2500.0,500.0,166.0,0.7,0.9999937503769654,0.39803216678665343,0.9999937326564557
2500.0,500.0,100.0,0.7,0.9999937503769654,0.28834745933789074,0.9999937560424698
2500.0,500.0,50.0,0.7,0.9999937503769654,0.2024050146280887,0.9999937503769654
2500.0,500.0,5.0,0.7,0.9999937503769654,0.10838429469560174,0.9988879107805752
2500.0,500.0,2.0,0.7,0.9999937503769654,0.10214285860250283,0.8302728465344377
1500.0,500.0,500.0,0.7,0.9999925753190108,0.9999925753190108,0.9999920088987029
1500.0,500.0,250.0,0.7,0.9999925753190108,0.5189824753033214,0.9999926036348414
1500.0,500.0,166.0,0.7,0.9999925753190108,0.37873031755641084,0.9999925793218036
1500.0,500.0,100.0,0.7,0.9999925753190108,0.2721289255397158,0.9999925753190048
1500.0,500.0,50.0,0.7,0.9999925753190108,0.1898640129596113,0.9999925753190108
1500.0,500.0,5.0,0.7,0.9999925753190108,0.10220815140166883,0.9915906482398807
1500.0,500.0,2.0,0.7,0.9999925753190108,0.10136864476694896,0.7572100793974543
1000.0,500.0,500.0,0.7,0.9999904708098846,0.9999904708098846,0.9999897527475312
