M,N,n,rho,model,R2,MSE
500,500,125,0.01,pcr,0.23413209239474708,337.14133183128746
500,500,125,0.01,pls,0.9078431158768243,40.56821593146487
500,500,250,0.01,linreg,-15.22753190325654,7143.492583865375
500,500,250,0.01,pcr,0.49173617805749426,223.7419013771735
500,500,250,0.01,pls,0.8181374367731838,80.05739131733267
5000,500,5,0.1,linreg,0.9978629156433305,1.1051201685131513
5000,500,5,0.1,pcr,0.08862762493649168,471.28508969015746
5000,500,5,0.1,pls,0.9977559848296396,1.1604157858698534
5000,500,50,0.1,linreg,0.9978629156433305,1.1051201685131513
5000,500,50,0.1,pcr,0.154832856002319,437.0493161309229
5000,500,50,0.1,pls,0.9978629156433305,1.1051201685131542
5000,500,125,0.1,linreg,0.9978629156433305,1.1051201685131513
5000,500,125,0.1,pcr,0.28353446992365194,370.49567316368166
5000,500,125,0.1,pls,0.9978629156433085,1.1051201685244934
5000,500,250,0.1,linreg,0.9978629156433305,1.1051201685131513
5000,500,250,0.1,pcr,0.49359799732572607,261.86849610510706
5000,500,250,0.1,pls,0.9978618118143183,1.1056909759780476
2500,500,5,0.1,linreg,0.9975994257500158,1.2392179526655183
2500,500,5,0.1,pcr,0.08839775326551202,470.5848485423936
2500,500,5,0.1,pls,0.9964588803454659,1.8279872195014304
2500,500,50,0.1,linreg,0.9975994257500158,1.2392179526655183
2500,500,50,0.1,pcr,0.16878400429987528,429.0880752474562
2500,500,50,0.1,pls,0.9975994257500158,1.2392179526655174
2500,500,125,0.1,linreg,0.9975994257500158,1.2392179526655183
2500,500,125,0.1,pcr,0.3038126192551943,359.38396849996013
2500,500,125,0.1,pls,0.9976076628231424,1.234965833033754
2500,500,250,0.1,linreg,0.9975994257500158,1.2392179526655183
2500,500,250,0.1,pcr,0.5243618100568335,245.5326611767063
2500,500,250,0.1,pls,0.9976029489022471,1.237399240540702
1500,500,5,0.1,linreg,0.9971283484831894,1.4830183092888987
1500,500,5,0.1,pcr,0.0885961942378587,470.6798590248379
1500,500,5,0.1,pls,0.9882432120947083,6.071604308498775
1500,500,50,0.1,linreg,0.9971283484831894,1.4830183092888987
1500,500,50,0.1,pcr,0.1574251825983849,435.1342333279341
1500,500,50,0.1,pls,0.9971283484831851,1.4830183092911853
1500,500,125,0.1,linreg,0.9971283484831894,1.4830183092888987
1500,500,125,0.1,pcr,0.30910539099749623,356.8014255705086
1500,500,125,0.1,pls,0.9971283474097329,1.4830188636583226
1500,500,250,0.1,linreg,0.9971283484831894,1.4830183092888987
1500,500,250,0.1,pcr,0.5255994055341984,244.99656849440166
1500,500,250,0.1,pls,0.9971288146013758,1.4827775900371019
1000,500,5,0.1,linreg,0.9961299404974756,1.9984407402120297
1000,500,5,0.1,pcr,0.09026509486925371,469.7734740306517
1000,500,5,0.1,pls,0.9575682855762975,21.91110155439674
1000,500,50,0.1,linreg,0.9961299404974756,1.9984407402120297
1000,500,50,0.1,pcr,0.1573138931004776,435.1504792472038
1000,500,50,0.1,pls,0.9961299404904859,1.9984407438214271
1000,500,125,0.1,linreg,0.9961299404974756,1.9984407402120297
1000,500,125,0.1,pcr,0.2765277375087818,373.5902362309266
1000,500,125,0.1,pls,0.9961299404974755,1.9984407402120787
1000,500,250,0.1,linreg,0.9961299404974756,1.9984407402120297
1000,500,250,0.1,pcr,0.5382802855343956,238.4251423899958
1000,500,250,0.1,pls,0.9961371184484409,1.9947341538841536
500,500,5,0.1,linreg,0.5597612580669382,227.39750175164437
