M,N,n,rho,model,R2,MSE
2500,500,50,0.9,pls,0.999844864896667,1.2210403708715771
2500,500,125,0.9,linreg,0.999844864896667,1.2210403708715691
2500,500,125,0.9,pcr,0.878477790173056,956.4793587544872
2500,500,125,0.9,pls,0.9998448557820321,1.2211121105162457
2500,500,250,0.9,linreg,0.999844864896667,1.2210403708715691
2500,500,250,0.9,pcr,0.9240019943203984,598.1665725348605
2500,500,250,0.9,pls,0.9998443541868318,1.2250600757169179
1500,500,5,0.9,linreg,0.9998090444369612,1.502815184071923
1500,500,5,0.9,pcr,0.8445070738110048,1223.7251786429565
1500,500,5,0.9,pls,0.9981674969930475,14.421749750989333
1500,500,50,0.9,linreg,0.9998090444369612,1.502815184071923
1500,500,50,0.9,pcr,0.8550614448011529,1140.6625606709683
1500,500,50,0.9,pls,0.9998090444369614,1.5028151840703077
1500,500,125,0.9,linreg,0.9998090444369612,1.502815184071923
1500,500,125,0.9,pcr,0.875420519855051,980.4371834274085
1500,500,125,0.9,pls,0.9998090635061884,1.502665109762269
1500,500,250,0.9,linreg,0.9998090444369612,1.502815184071923
1500,500,250,0.9,pcr,0.9197116817125882,631.8669218417419
1500,500,250,0.9,pls,0.9998074829598133,1.5151039675463385
1000,500,5,0.9,linreg,0.9997335026451276,2.098131559772061
1000,500,5,0.9,pcr,0.8440272065138398,1227.9725651903882
1000,500,5,0.9,pls,0.9929165481625964,55.76796009587965
1000,500,50,0.9,linreg,0.9997335026451276,2.098131559772061
1000,500,50,0.9,pcr,0.8536086080477004,1152.5382669600494
1000,500,50,0.9,pls,0.9997335026508397,2.098131514800921
1000,500,125,0.9,linreg,0.9997335026451276,2.098131559772061
1000,500,125,0.9,pcr,0.8740556341492469,991.5589927466992
1000,500,125,0.9,pls,0.9997335026451276,2.0981315597719963
1000,500,250,0.9,linreg,0.9997335026451276,2.098131559772061
1000,500,250,0.9,pcr,0.9234139272706297,602.9615427493598
1000,500,250,0.9,pls,0.9997336074174171,2.0973066883680866
500,500,5,0.9,linreg,0.8655637858638553,1058.3338598611172
500,500,5,0.9,pcr,0.8431844418556869,1234.5127092694981
500,500,5,0.9,pls,0.9646556187804396,278.24463550140337
500,500,50,0.9,linreg,0.8655637858638553,1058.3338598611172
500,500,50,0.9,pcr,0.854329157012052,1146.777202253926
500,500,50,0.9,pls,0.9936464369736139,50.01770486318885
500,500,125,0.9,linreg,0.8655637858638553,1058.3338598611172
500,500,125,0.9,pcr,0.8746571281880557,986.747552980566
500,500,125,0.9,pls,0.9936247996631024,50.188042137991054
500,500,250,0.9,linreg,0.8655637858638553,1058.3338598611172
500,500,250,0.9,pcr,0.9207335776673937,624.0159263908766
500,500,250,0.9,pls,0.9907904909406372,72.5008163377073
5000,500,5,0.99,linreg,0.9999347371188261,1.1089017081332415
5000,500,5,0.99,pcr,0.9932019312246914,115.50807965176325
5000,500,5,0.99,pls,0.999934496975147,1.1129820633213825
5000,500,50,0.99,linreg,0.9999347371188261,1.1089017081332415
5000,500,50,0.99,pcr,0.993741666799615,106.33726631642135
