K,n_K_ratio,n,N_K_ratio,M,rho,model,R2,MSE
200,0.1,20,3,600,0.01,linreg,0.9997167028438619,1.4253997722420417
200,0.1,20,3,600,0.01,pcr,0.12113339549066948,4421.986704618218
200,0.1,20,3,600,0.01,pls,0.9997166923151579,1.4254527470493938
200,0.2,40,3,600,0.01,linreg,0.9997167028438619,1.4253997722420417
200,0.2,40,3,600,0.01,pcr,0.22714437592602665,3888.5961495289052
200,0.2,40,3,600,0.01,pls,0.9997167028438952,1.4253997720741534
200,0.5,100,3,600,0.01,linreg,0.9997167028438619,1.4253997722420417
200,0.5,100,3,600,0.01,pcr,0.4586601696717386,2723.7324983218655
200,0.5,100,3,600,0.01,pls,0.9997167028530102,1.4253997262128577
200,0.8,160,3,600,0.01,linreg,0.9997167028438619,1.4253997722420417
200,0.8,160,3,600,0.01,pcr,0.7776493074230544,1118.749763949493
200,0.8,160,3,600,0.01,pls,0.9997144280584439,1.4368452758288897
200,0.01,2,2,400,0.01,linreg,0.9996179042351645,1.9221861505421982
200,0.01,2,2,400,0.01,pcr,0.008387021932402594,4988.447683946361
200,0.01,2,2,400,0.01,pls,0.801680380566187,997.6745647012785
200,0.1,20,2,400,0.01,linreg,0.9996179042351645,1.9221861505421982
200,0.1,20,2,400,0.01,pcr,0.13633779950196068,4344.773413698471
200,0.1,20,2,400,0.01,pls,0.9996196566422267,1.9133704218817156
200,0.2,40,2,400,0.01,linreg,0.9996179042351645,1.9221861505421982
200,0.2,40,2,400,0.01,pcr,0.28082102395654884,3617.930358654813
200,0.2,40,2,400,0.01,pls,0.9996179032200307,1.9221912573140836
200,0.5,100,2,400,0.01,linreg,0.9996179042351645,1.9221861505421982
200,0.5,100,2,400,0.01,pcr,0.5236545074164911,2396.3225792659086
200,0.5,100,2,400,0.01,pls,0.9996179042351645,1.9221861505421958
200,0.8,160,2,400,0.01,linreg,0.9996179042351645,1.9221861505421982
200,0.8,160,2,400,0.01,pcr,0.8030015313428959,991.0283310617583
200,0.8,160,2,400,0.01,pls,0.9996168758676436,1.9273594970908332
200,0.01,2,1,200,0.01,linreg,0.24269007409169663,3810.8536957520446
200,0.01,2,1,200,0.01,pcr,0.011286528653908556,4975.297770988549
200,0.01,2,1,200,0.01,pls,0.6238605834436042,1892.7683853908961
